Channel;Theta_Power;Alpha_Power;Beta_Power
Fc5.;189.87;185.04;143.27
Fc3.;218.58;242.52;160.23
Fc1.;240.75;233.07;168.28
Fcz.;253.15;225.40;173.46
Fc2.;221.20;222.19;154.17
Fc4.;169.92;201.90;125.52
Fc6.;107.79;123.44;89.55
C5..;194.73;199.11;142.60
C3..;214.57;242.83;150.83
C1..;233.88;214.42;151.48
Cz..;241.42;200.82;160.08
C2..;208.63;197.66;142.18
C4..;154.13;184.81;116.77
C6..;96.55;110.00;90.32
Cp5.;204.41;199.15;155.03
Cp3.;213.90;213.96;151.47
Cp1.;220.56;203.80;149.72
Cpz.;213.38;190.52;148.06
Cp2.;186.63;184.10;133.67
Cp4.;162.04;183.22;127.35
Cp6.;115.23;133.27;100.16
Fp1.;250.82;157.25;150.98
Fpz.;202.55;139.90;118.07
Fp2.;194.56;133.00;113.41
Af7.;238.35;167.64;162.82
Af3.;228.92;164.32;157.62
Afz.;209.22;186.45;142.62
Af4.;163.55;151.14;117.26
Af8.;156.66;118.34;120.93
F7..;181.75;149.72;147.77
F5..;216.36;196.25;173.22
F3..;195.37;188.53;135.46
F1..;228.70;216.01;169.93
Fz..;233.07;217.20;164.60
F2..;200.67;197.54;144.88
F4..;184.90;186.80;131.81
F6..;141.02;145.49;113.18
F8..;93.11;85.73;76.31
Ft7.;173.15;152.40;136.84
Ft8.;64.75;65.18;60.72
T7..;179.15;154.50;133.80
T8..;59.79;58.74;151.37
T9..;170.64;143.91;136.08
T10.;29.65;21.47;55.18
Tp7.;188.95;169.73;148.15
Tp8.;72.01;71.32;58.22
P7..;214.28;206.14;179.80
P5..;212.71;214.70;167.22
P3..;209.19;216.45;160.85
P1..;211.15;216.54;158.22
Pz..;207.38;205.77;147.81
P2..;185.59;210.38;145.86
P4..;164.63;194.26;138.03
P6..;135.91;155.96;120.01
P8..;107.83;115.22;99.87
Po7.;224.50;234.48;198.48
Po3.;220.59;233.48;185.54
Poz.;211.67;233.67;173.26
Po4.;178.85;224.06;166.91
Po8.;177.71;218.29;190.54
O1..;223.88;267.24;275.48
Oz..;210.27;250.20;271.62
O2..;209.63;262.73;310.36
Iz..;188.51;226.71;311.50
